#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
78,Jarrett Allen,CLE,5,38.1,9.4,4.4,7.2,0.611,0,0,0,0.6,1.2,0.5,3,4.4,7.4,2.4,0.8,1,0.6,2
79,Max Strus,MIA,23,28.2,9.3,3.3,8.2,0.402,1.9,5.9,0.319,0.9,1.1,0.8,0.6,3,3.6,1.4,0.3,0.3,0.3,2
80,Kyle Lowry,MIA,23,26.1,9.2,3.2,7.6,0.425,1.4,3.8,0.375,1.3,1.4,0.939,0.5,3,3.5,4.4,1,0.6,1.7,2.6
81,Ivica Zubac,LAC,5,26,9.2,3.4,6,0.567,0,0,0,2.4,3.2,0.75,3.2,6.4,9.6,0.6,0.6,0.2,2.2,1.6
82,Kevin Huerter,SAC,7,26.2,9.1,3.6,10.3,0.347,1.1,5.6,0.205,0.9,1.1,0.75,0.1,4.3,4.4,1.1,0.4,1.3,0.6,3.3
83,Duncan Robinson,MIA,23,18.2,9,3.3,6.9,0.475,2.2,4.9,0.442,0.3,0.3,0.875,0,1.4,1.5,1.7,0.3,0.1,0.9,1.6
84,Immanuel Quickley,NYK,8,21.9,9,2.9,8.3,0.348,1.1,4.6,0.243,2.1,2.5,0.85,0.3,1.4,1.6,1,0.5,0,1.1,1.4
85,"Xavier Tillman, Sr.",MEM,6,30.6,8.7,4,7.5,0.533,0.2,0.7,0.25,0.5,0.8,0.6,2.8,5.2,8,3.2,0.7,0.7,0.7,2.8
86,Marcus Morris,LAC,3,22.8,8.7,3.3,9.7,0.345,0.7,4,0.167,1.3,1.3,1,0.3,3.7,4,0,0.3,0.3,0.3,2
87,Bones Hyland,LAC,5,16.5,8.6,3,8.8,0.341,1,4,0.25,1.6,2,0.8,0.2,0.6,0.8,0.8,0.8,0.2,0.8,1.8
88,Kyle Anderson,MIN,4,25.9,8.5,3.8,7.5,0.5,0.5,1.5,0.333,0.5,0.5,1,0.8,3.3,4,4.5,1.8,0.5,1.5,3.3
89,Nickeil Alexander-Walker,MIN,5,29.6,8.4,3,7,0.429,2,5,0.4,0.4,0.6,0.667,0.2,1.8,2,1.4,0.6,0.2,0.8,1.8
90,Clint Capela,ATL,6,25.2,8.3,3.8,6.3,0.605,0,0,0,0.7,1,0.667,2.5,5.8,8.3,0.5,1,0.5,0.7,0.8
91,Seth Curry,BRK,3,19.4,8.3,3.3,6.3,0.526,1,3,0.333,0.7,1,0.667,0,1,1,2,0,0,0.3,0.7
92,Mason Plumlee,LAC,5,18.2,8.2,2.8,3.2,0.875,0,0,0,2.6,2.8,0.929,3.2,3.6,6.8,1.8,0.4,0.4,0.6,3
93,Cameron Payne,PHX,7,21.8,8.1,3.3,6.9,0.479,1.6,3.9,0.407,0,0.4,0,0,2,2,2.9,0.4,0.3,1.3,2.1
94,De'Anthony Melton,PHI,11,24.9,7.9,2.8,7.4,0.383,1.7,4.5,0.388,0.5,0.7,0.75,1.3,2,3.3,1.6,1.2,0.8,0.7,1.8
95,Taurean Prince,MIN,5,20,7.8,2.4,6.6,0.364,1.6,4.2,0.381,1.4,1.8,0.778,0.6,0.8,1.4,0.8,0.6,0.2,1,1.8
96,Robert Williams,BOS,20,20.9,7.7,3.4,4.3,0.788,0,0.1,0,1,1.4,0.679,1.8,4.2,6,1,0.5,1.3,0.8,2.2
97,Saddiq Bey,ATL,6,22.1,7.5,2.5,6.7,0.375,1.2,3,0.389,1.3,1.5,0.889,1.2,2.8,4,1,0.5,0,0.3,0.5
98,Dennis Schroder,LAL,16,26.1,7.4,2.6,6.4,0.398,0.8,2.4,0.333,1.4,1.8,0.821,0.2,1.8,1.9,2.9,1,0.2,1.3,2.5
99,Luke Kennard,MEM,5,21.3,7.2,2.4,4.6,0.522,1.6,3.2,0.5,0.8,0.8,1,1,3,4,1.4,0.8,0,0.2,1.6
100,Davion Mitchell,SAC,7,20,7.1,2.7,6.6,0.413,1,3.9,0.259,0.7,0.9,0.833,0.4,0.9,1.3,1.7,0.9,0.1,0.9,1
